source,relationship,target
Merdoor,abuse,coinstcfg.dat
Lancefly,use,PowerShell
PowerShell,used to launch,rundll32.exe
Lancefly,install,Avast
Lancefly,use,Impacket Atexec
Merdoor,is used by,Lancefly
LSSAS Dumper,is used by,Lancefly
NBTScan,is used by,Lancefly
Blackloader,is used by,Lancefly
Prcloader,is used by,Lancefly
Blackloader,is linked to,PlugX
Prcloader,is linked to,PlugX
Merdoor,inject,perfhost.exe
Merdoor,inject,svchost.exe
Merdoor,use,mavinject.exe
Merdoor,use,createdump.exe
WinRAR,masquerade,wmiprvse.exe
Merdoor,stage,WinRAR
Lancefly,use,ZXShell Rootkit
ZXShell Rootkit,export,FormDll.dll
FormDll.dll,hash,1f09d177c99d429ae440393ac9835183d6fd1f1af596089cc01b68021e2e29a7
FormDll.dll,drop,TdiProxy.sys
Loadpoint,file,Form.pdb
Form.pdb,hash,180970fce4a226de05df6d22339dd4ae03dfd5e451dcf2d464b663e86c824b8e
Form.pdb,load,FormDll.dll
Form.pdb,call,DoRVA
DoRVA,hash,a6020794bd6749e0765966cd65ca6d5511581f47cc2b38e41cb1e7fddaa0b221
DoRVA,the same toolset,Merdoor loader
DoRVA,read and delete,res.ini
DoRVA,read and delete,\TdiProxy0
DoRVA,terminate,egui.exe
DoRVA,terminate,ekrn.exe
DoRVA,terminate,msmpeng.exe
res.dat,rename,temp.temp
temp.temp,append,res.ini
DefenderSvc.dll,exist,file
temp.temp,use,TdiProxy0
ZXShell,variant,Msrpcsvc.dll
Msrpcsvc.dll,hash,d5df686bb202279ab56295252650b2c7c24f350d1a87a8a699f6034a8c0dd849
ZXShell,used by,Lancefly
ZXShell,used by,HiddenLynx/APT17
ZXShell,has,formdll.dll
ZXShell,read,Form.hlp
Iron Tiger,link to,formdll.dll
Iron Tiger,aka,Budworm
Iron Tiger,aka,APT27
Iron Tiger,load,PlugX
PlugX,belong to,remote access Trojan (RAT
PlugX,used by,Chinese APT groups
PlugX,used by,Lancefly
ShadowPad,is used by,attackers
ShadowPad,belong to,RAT
Chinese APT groups,use,ShadowPad
ShadowPad,successor to,PlugX
Lancefly,use,Merdoor
X_Trader,for,Supply Chain Attack
X_Trader,breach,3CX
Trading Technologies,developer,X_Trader
attack,start from,X_TRADER_r7.17.90p608.exe
X_TRADER_r7.17.90p608.exe,hash,900b63ff9b06e0890bf642bdfcbfcc6ab7887c7a3c057c8e3fd6fba5ffc8e5d6
X_TRADER_r7.17.90p608.exe,contain,Setup.exe
Setup.exe,hash,aa318070ad1bf90ed459ac34dc5254acc178baff3202d2ea7f49aaf5a055dd43
X_TRADER_r7.17.90p608.exe,examine,X_TRADER-ja.mst
X_TRADER_r7.17.90p608.exe,drop,winscard.dll
winscard.dll,hash,cc4eedb7b1f77f02b962f4b05278fa7f8082708b5a12cacf928118520762b5e2
X_TRADER_r7.17.90p608.exe,drop,msvcr100.dll
msvcr100.dll,hash,d937e19ccb3fd1dddeea3eaaf72645e8cd64083228a0df69c60820289b1aa3c0
malware,run,TpmVscMgrSvr.exe
malware,drop,X_TRADER.exe
X_Trader,drop,winscard.dll
winscard.dll,load,msvcr100.dll
Veiledsignal,contains,19442d9e476e3ef990ce57b683190301e946ccb28fc88b69ab53a93bf84464ae
Veiledsignal,contains,f8c370c67ffb3a88107c9022b17382b5465c4af3dd453e50e4a0bd3ae9b012ce
Veiledsignal,connect,https://www.tradingtechnologies.com/trading/order-management
Daggerfly,belong to,APT
MgBot,associated with,Daggerfly
Daggerfly,aka,Evasive Panda
Daggerfly,aka,Bronze Highland
Daggerfly,used,MgBot
Daggerfly,use,PlugX loader
Daggerfly,used,AnyDesk
MgBot,associated with,China-linked APTs
MgBot,appears in,Daggerfly
MgBot,appears in,Evasive Panda
Daggerfly,include,Rundll32.exe
Evasive Panda,include,Rundll32.exe
Rundll32.exe,renamed,dbengin.exe
Daggerfly,use,AnyDesk
threat actors,use,BITSAdmin
threat actors,use,PowerShell
BITSAdmin,download,AnyDesk
BITSAdmin,download,GetCredManCreds
PowerShell,download,AnyDesk
PowerShell,download,GetCredManCreds
Daggerfly,use,MgBot
MgBot,have,MgBot EXE dropper
MgBot,have,MgBot DLL Loader
MgBot,have,MgBot Plugins
MgBot,deploy,innocence.dll
MgBot Plugins,deploy,bkmk.dll
MgBot Plugins,deploy,famdowm.dll
Daggerfly,develop,plugins
Daggerfly,use,malware
Othorene,aka,Gallium
Othorene,links with,APT41
APT41,aka,Blackfly
APT41,aka,Grayfly
Othorene,use,NbtScan
mim221,file,pc.exe
Play Ransomware Group,use,Custom Data-Gathering Tools
Grixba,have,(Infostealer.Grixba
Play ransomware gang,developed,Grixba
Grixba,used,Costura
Costura,is,.NET development tool
Costura,file,costura.commandline.dll
Grixba,checks for existence of,HitmanPro
Grixba,checks for existence of,VIPRE Anti-Virus
Grixba,checks for existence of,DeepArmor
Grixba,checks for existence of,Morphisec
Grixba,checks for existence of,Dr.Web
Grixba,checks for existence of,Veeam Backup Recovery
Grixba,checks for existence of,Synology C2 Cloud
Grixba,checks for existence of,Dropbox
Grixba,checks for existence of,Acronis
Grixba,checks for existence of,Cobian
Grixba,checks for existence of,EaseUS
Grixba,checks for existence of,Paragon
Grixba,checks for existence of,IDrive
Grixba,checks for existence of,VNC Remote
Grixba,checks for existence of,AnyDesk
Grixba,checks for existence of,TeamViewer
Grixba,checks for existence of,NinjaOne
Grixba,checks for existence of,Zoho
Grixba,checks for existence of,Atera
Grixba,checks for existence of,ConnectWise
Grixba,checks for existence of,RemotePC
Grixba,checks for existence of,GoTo Resolve
Grixba,checks for existence of,GoToAssist
Grixba,checks for existence of,Splashtop
Grixba,checks for existence of,SOS BeyondTrust
Grixba,checks for existence of,Remote Desktop Manager
Grixba,checks for existence of,Getscreen
Grixba,checks for existence of,Action1 Webex
Grixba,checks for existence of,Atlassian Surfly
Grixba,checks for existence of,Electric Pulseway
Grixba,checks for existence of,Kaseya VSA
Grixba,checks for existence of,XMReality
Grixba,checks for existence of,SightCall
Grixba,checks for existence of,DameWare
Grixba,checks for existence of,ScreenMeet
Grixba,checks for existence of,Viewabo
Grixba,checks for existence of,ShowMyPC
Grixba,checks for existence of,Iperius
Grixba,checks for existence of,Radmin
Grixba,checks for existence of,Remote Utilities
Grixba,checks for existence of,RemoteToPC
Grixba,compresses,export.zip
Play ransomware gang,use,VSS Copying Tool
VSS Copying Tool,developed with,Costura
Play ransomware,uses,AlphaVSS
Play Ransomware,targeting,CVE-2022-41080
Play Ransomware,targeting,CVE-2022-41082
Play,not operate as,ransomware-as-a-service
Balloonfly,carry out,ransomware attacks
Custom Tools,is used by,ransomware gangs
Mantis,aka,Arid Viper
Mantis,aka,Desert Falcon
Mantis,aka,APT-C-23
Mantis,linked to,Hamas
Mantis,use,Micropsia
Mantis,use,Arid Gopher backdoors
malware,connect,104.194.222[.]50
attacker,download,Micropsia
attacker,download,Putty
attacker,using,Certutil
attacker,using,BITSAdmin
Micropsia,ran,systempropertiesinternationaltime.exe
Micropsia,ran,windowsnetworkmanager.exe
Micropsia,ran,windowsps.exe
Micropsia,use,windowsservicemanageav.exe
windowsservicemanageav.exe,connect,104.194.222[.]50:443
Micropsia,execute,windowspackages.exe
Micropsia,execute,Arid Gopher
Arid Gopher,run,SetRegRunKey.exe
Arid Gopher,run,localsecuritypolicy.exe
Micropsia,run,windowspackages.exe
Arid Gopher,execute,networkswitcherdatamodell.exe
Arid Gopher,execute,networkuefidiagsbootserver.exe
attackers,retire,Arid Gopher
Micropsia,execute,hostupbroker.exe
hostupbroker.exe,followed by,windowsupserv.exe
Micropsia,execute,teamviewrremoteservice.exe
Micropsia,execute,embededmodeservice.exe
Arid Gopher,execute,localsecuritypolicy.exe
Micropsia,deployed by,microsoftdotnet35.exe
Micropsia,deployed by,systempropertiesinternationaltime.exe
Micropsia,deployed by,systempropertiesinternationaltime.exe
Micropsia,deployed by,windowsnetworkmanager.exe
Micropsia,deployed by,windowsps.exe
Micropsia,includes,Arid Gopher
Arid Gopher,file,networkvirtualizationstartservice.exe
Arid Gopher,file,networkvirtualizationfiaservice.exe
Micropsia,includes,Reverse SOCKs Tunneler
Reverse SOCKs Tunneler,file,windowsservicemanageav.exe
Micropsia,includes,Data Exfiltration Tool
Data Exfiltration Tool,file,windowsupserv.exe
Micropsia,includes,hostupbroker.exe
Micropsia,includes,windowspackages.exe
Arid Gopher,written in,Go
Arid Gopher,contains,7za.exe
Arid Gopher,contains,AttestationWmiProvider.exe
Arid Gopher,contains,ServiceHubIdentityHost.exe
Arid Gopher,contains,Shortcut.exe
Arid Gopher,used to launch,networkswitcherdatamodell.exe
Arid Gopher,used to launch,localsecuritypolicy.exe
Arid Gopher,used to launch,networkuefidiagsbootserver.exe
Arid Gopher,connects to,http://jumpstartmail[.]com/IURTIER3BNV4ER/DWL1RucGSj/4wwA7S8jQv
http://jumpstartmail[.]com/IURTIER3BNV4ER/DWL1RucGSj/4wwA7S8jQv,IP,79.133.51[.]134
Arid Gopher,follows,http://jumpstartmail[.]com/IURTIER3BNV4ER/AJLUK9BI48/0L6W3CSBMC
Arid Gopher,connects to,http://salimafia[.]net/IURTIER3BNV4ER/DWL1RucGSj/4wwA7S8jQv
http://salimafia[.]net/IURTIER3BNV4ER/DWL1RucGSj/4wwA7S8jQv,IP,146.19.233[.]32
Arid Gopher,follows,http://salimafia[.]net/IURTIER3BNV4ER/AJLUK9BI48/0L6W3CSBMC
Arid Gopher,endpoint,http://jumpstartmail[.]com
Arid Gopher,stapp,AttestationWmiProvider.exe
Arid Gopher,shortAPP,ServiceHubIdentityHost.exe
AttestationWmiProvider.exe,embedded in,Arid Gopher
attacker,use,WindowsUpServ.exe
malware,log,success.txt
malware,log,err.txt
3CX,for,Supply Chain Attack
North Korean-sponsored actors,believed to be linked to,3CX DesktopApp
libffmpeg.dylib,hash,a64fa9f1c76457ecc58402142a8728ce34ccba378c17318b3340083eeb7acc67
libffmpeg.dylib,hash,fee4f9dabc094df24d83ec1a8c4e4ff573e5d9973caa676f58086c99561382d7
libffmpeg.dylib,download payload from,https://msstorageazure[.]com/analysis
variants,embed,officestoragebox[.]com/api/biosync
variants,embed,visualstudiofactory[.]com/groupcore
variants,embed,azuredeploystore[.]com/cloud/images
variants,embed,msstorageboxes[.]com/xbox
variants,embed,officeaddons[.]com/quality
variants,embed,sourceslabs[.]com/status
variants,embed,zacharryblogs[.]com/xmlquery
variants,embed,pbxcloudeservices[.]com/network
variants,embed,pbxphonenetwork[.]com/phone
variants,embed,akamaitechcloudservices[.]com/v2/fileapi
variants,embed,azureonlinestorage[.]com/google/storage
variants,embed,msedgepackageinfo[.]com/ms-webview
variants,embed,pbxsources[.]com/queue
Blackfly,aka,APT41
Blackfly,aka,Winnti Groupe
Blackfly,aka,Bronze Atlas
Blackfly,use,Backdoor.Winnkit
Backdoor.Winnkit,hash,caba1085791d13172b1bb5aca25616010349ecce17564a00cb1d89c7158d6459
Backdoor.Winnkit,hash,cf6bcd3a62720f0e26e1880fe7ac9ca6c62f7f05f1f68b8fe59a4eb47377880a
Backdoor.Winnkit,hash,e1e0b887b68307ed192d393e886d8b982e4a2fd232ee13c2f20cd05f91358596
Backdoor.Winnkit,hash,a3078d0c4c564f5efb1460e7d341981282f637d38048501221125756bc740aac
Backdoor.Winnkit,hash,714cef77c92b1d909972580ec7602b0914f30e32c09a5e8cb9cb4d32aa2a2196
Blackfly,use,Rootkit driver
Rootkit driver,associated with,Blackfly
Blackfly,use,Credential-dumping tool
Credential-dumping tool,hash,100cad54c1f54126b9d37eb8c9e426cb609fc0eda0e9a241c2c9fd5a3a01ad6c
Blackfly,use,Screenshotting tool
Screenshotting tool,hash,452d08d420a8d564ff5df6f6a91521887f8b9141d96c77a423ac7fc9c28e07e4
Blackfly,use,Process-hollowing tool
Process-hollowing tool,hash,1cc838896fbaf7c1996198309fbf273c058b796cd2ac1ba7a46bee6df606900e
Blackfly,use,SQL tool
SQL tool,hash,4ae2cb9454077300151e701e6ac4e4d26dc72227135651e02437902ac05aa80d
Blackfly,use,Mimikatz
Mimikatz,hash,b28456a0252f4cd308dfb84eeaa14b713d86ba30c4b9ca8d87ba3e592fd27f1c
Blackfly,use,ForkPlayground
ForkPlayground,hash,a3acb9f79647f813671c1a21097a51836b0b95397ebc9cd178bc806e1773c864
Blackfly,use,Proxy configuration tool
Proxy configuration tool,hash,5e51bdf067e5781d2868d97e7608187d2fec423856dbc883c6f81a9746e99b9f
Proxy configuration tool,hash,d4e1f09cb7b9b03b4779c87f2a10d379f1dd010a9686d221c3a9f45bda5655ee
Proxy configuration tool,hash,f138d785d494b8ff12d4a57db94958131f61c76d5d2c4d387b343a213b29d18f
Proxy configuration tool,hash,88113bebc49d40c0aa1f1f0b10a7e6e71e4ed3ae595362451bd9dcebcf7f8bf4
Proxy configuration tool,hash,498e8d231f97c037909662764397e02f67d0ee16b4f6744cf923f4de3b522bc1
Proxy configuration tool,requrie,conf.dat
Blackfly,for,APT
Blackfly,use,PlugX/Fast
PlugX/Fast,is,Backdoor.Korplug
Blackfly,use,Winnti/Pasteboy
Winnti/Pasteboy,is,Backdoor.Winnti
Blackfly,use,Shadowpad
Shadowpad,is,Backdoor.Shadowpad
attackers,compromise,3CX DesktopApp
aa124a4b4df12b34e74ee7f6c683b2ebec4ce9a8edcf9be345823b4fdcf5d868,variants,3CX DesktopApp
59e1edf4d82fae4978e97512b0331b7eb21dd4b838b850ba46794d9c7a2c0983,variants,3CX DesktopApp
7986bbaee8940da11ce089383521ab420c443ab7b15ed42aed91fd31ce833896,SHA256,ffmpeg.dll
3CX DesktopApp,load,ffmpeg.dll
11be1803e2e307b647a8a7e02d128335c448ff741bf06bf52b332e0bbf423b03,SHA256,d3dcompiler_47.dll
3CX DesktopApp,load,d3dcompiler_47.dll
d3dcompiler_47.dll,is,Trojan
3CX DesktopApp,load,5D41402ABC4B2A76B9719D911017C592
Retooled Waterbug,use,PsExec
Retooled Waterbug,use,Equation Group tools
Equation Group tools,include,EternalBlue
Equation Group tools,include,EternalRomance
Equation Group tools,include,DoublePulsar
Equation Group tools,include,SMBTouch
Beapy,for,Cryptojacking
Elfin,use,Stonedrill
Elfin,attack,Shamoon attacks
Elfin,use,Backdoor.Notestuk
Backdoor.Notestuk,aka,TURNEDUP
Elfin,use,Trojan.Stonedrill
Elfin,use,AutoIt backdoor
Elfin,use,Backdoor.Remvio
NanoCore,aka,Trojan.Nancrat
NanoCore,use,PsExec
attacker,use,Hacktool.Mimikatz
rattacker,use,UltraVNC
attacker,use,Cobalt Strike
Cobalt Strike,for,backdoor
Elfin,aka,APT33
Elfin,use,Stonedrill
Stonedrill,is,Trojan.Stonedrill
Elfin,attack,W32.Disttrack
FASTCash,use,Trojan.Fastcash
Ramnit,is,financial Trojan
Emotet,is,financial Trojan
Trickybot,is,financial Trojan
WMIC,Parallels,PowerShell
Mirai,created by,Aboriginal Linux
The web shell,modification,PhpSpy
PhpSpy,is,backdoor
The web shell,link,magiccoder.ir
Leafminer group,use,Trojan.Imecab
Mealybug,use,Emotet
Mealybug,use,Qakbot
Mealybug,distributing,banking Trojan
PowerShell,seen with,financial Trojan
PowerShell,seen with,cryptocurrency miner
PowerShell,seen with,GhostMiner
PowerShell,seen with,Bluwimps
GhostMiner,is,worm
Bluwimps,is,worm
Trojan.Kwampirs,is,backdoor Trojan
Trojan.Coinminer,is,cryptocurrency mining
malware,add,windata0.exe
Petya/NotPetya,cause,supply chain attack
Necurs,is,botnet
Android.Doublehiddent,is,Android Trojan
Sowbug,mount,espionage attack
Felismus,file name,adobecms.exe
Igor,use,Bachosens
Corentry,sample,e20d5255d8ab1ff5f157847d2f3ffb25
Corentry,sample,5df76f1ad59e019e52862585d27f1de2
Corentry,sample,318d8b61d642274dd0513c293e535b38
Corentry,sample,511a473e26e7f10947561ded8f73ffd0
Archangel,closely matched,Longhorn
Longhorn,called,Backdoor.Plexor
Longhorn,link to,Vault 7
Gatak Trojan,aka,Stegoloader
Gatak Trojan,belong to,backdoor Trojan
Tick,mount,watering hole attack
Tick,use,Downloader.Gofarer
Downloader.Gofarer,install,Daserf
Tick,take advantage of,CVE-2014-4114
Dripio,use,C&C server
Dyre,belong to,financial fraud Trojan
Morpho,renamed,Butterfly
Dyre,use,botnet
10[.]10[.]30[.]36,in,2008BDD98D3DCB6633357B8D641C97812DF916300222FC815066978090FA078F
192[.]168[.]21[.]182,in,847CBE9457B001FAF3C09FDE89EF95F9CA9E1F79C29091C4B5B08C5F5FE48337
ARM,sample,509f5bb6bcc0f2da762847364f7c433d1179fb2b2f4828eefb30828c485a3084
Big Head,belong to,ransomware
CVE-2023-34362,exploited by,Cl0p
CVE-2023-34362,infect,MOVEit Transfer
Launcher_S0FT-2O23.exe,is,Vidar Stealer
Launcher_S0FT-2O23.exe,hash of this file,820bbfc1f5023af60a7048a0c25e3db51b481afd6986bf1b5ff806cf604c1f4c
Launcher_S0FT-2O23.exe,hash of this file,e256b5ef66c4e56dac32934594b41e7e8cf432f834046e1c24c0827b120e6ddb
Vaxa.exe,is,Miner Installer
Vaxa.exe,hash,44810cead810cd546a8983e464157a4eb98ebbd518c4f4249e6b99e7f911090f
Vaxa.exe,decrypt,shellcode
shellcode,inject,Task32Main
Task32Main,hash,5630c8f0dcd2393daf8477e6e4e419b0d0faf6780b6f1e00ad7a09fd37ddcdd3
Task32Main,within,Regsvcs.exe
Task32Main,installing,watchdog
Wintapix.sys,use,Donut
hxxp://109[.]206[.]243[.]207/ssh/x86_64,servering,Bash scripts
RapperBot,use,Bash scripts
Bash scripts,hash,7f6e0fa785820075a61819ca6b272a239733b770eb8a92a4056cf5d26d89795f
Bash scripts,download,XMRig crypto miner
XMRig crypto miner,hash,0ad68d5804804c25a6f6f3d87cc3a3886583f69b7115ba01ab7c6dd96a186404
XMRig,for,cryptojacking
XMRig,hash,f06d698967cee77e5a7bf9835b0a93394097e7590c156ed0d8c6304345701cfa
XMRig,merged,RapperBot
AndoryuBot,belong to,botnet
AndoryuBot,start,DDoS Attack
jquery.hta,similar,Pantomime.hta
jquery.hta,by,SILENTTRINITY
jquery.hta,contain,PreBot.dll
EvilExtractor,developed by,Kodex
EvilExtractor,use,FTP service
EvilExtractor,belong to,ransomware
EvilExtractor,download,zzyy.zip
EvilExtractor,leverage,7za.exe
XWorm,belong to,Remote Access Trojan
TaxReturn2022.img,contains,TaxReturn2022.pdf.lnk
TaxReturn2022.img,contains,TaxReturns2022.pdf.lnk
TaxReturn2022.img,contains,TaxReturns2022.zip
TaxReturn2022.img,hash,6658d4b14f0093a2fccd2f57b5bf9fa18d09cda5d42036f280b41e5beb1ff2fe
TaxReturns2022.pdf.lnk,hash,fa862d43a85a9ea6f046f3edc743b897bba86348c04b8d62ba6eb27f951edf55
TaxReturns2022.zip,hash,c4599d4270ba8ef58fb8f1219ecff864acd83145c368ada9406a341d6f4a4fbf
CVE-2021-35394,affect,UDPServer
thebypasstool,use,Discord webhook
judyb-advanced,use,Discord webhook
Wipers,linked,CaddyWiper
Wipers,linked,WhisperGate
AsyncRAT,communicates with,C2 server
PowerShell code,named,tmp72AF.tmp
malware,link,79[.]137[.]203[.]156
malware,download,miner.bat
malware,download,plugin_3.dll
malware,download,plugin_4.dll
8220 Gang,use,ScrubCrypt
Chaos Ransomware,likely,Ethereum mining app
Sirattacker,belong to,ransomware
Core1337,publish,malware
Core1337,publish,Ai-Solver-gen
Core1337,publish,hypixel-coins
Core1337,publish,httpxrequesterv2
Core1337,publish,httpxrequester
hxxps://discordapp[.]com/api/webhooks/1068100542682902558/9JUsLnJZLyEkc_bGS85KTa5M1VWZ2J496v6Ruo7oUclFE08osfXNZL_OK5YDGOPYHLFy,in,Spidey Bot
Blackfly,associated with,Grayfly
Grayfly,associated with,APT41
Blackfly,associated with,Chinese APT group
Grayfly,associated with,Chinese APT group
Clasiopa,use,Backdoor.Atharvan
Clasiopa,use,brute force attacks
Clasiopa,URL,https://ifconfig.me/ip
Clasiopa,attempt to disable,SepMasterService
attacker,use,wsmprovhost
attacker,use,PowerShell
attacker,use,backdoors
backdoors,name,atharvan.exe
atharvan.exe,renamed to,agile_update.exe
HCL Domino,formerly,IBM Domino
HCL Domino,proximity to,"backdoors),"
Atharvan,belong to,remote access Trojan (RAT
Lilith,belong to,remote access Trojan (RAT
Thumbsender,receive command from,C&C server
Thumbsender,save file names in,Thumb.db
Atharvan,contact,C&C server
C&C server,domain,update.microsoft.com
Clasiopa,use,Atharvan
Atharvan,belong to,backdoor
Hydrochasma,use,open-source tools
Hydrochasma,use,phishing email
Hydrochasma,drop,Fast Reverse Proxy (FRP
%TEMP%\MicrosoftEdgeUpdate.exe,drop,%TEMP%\msedgeupdate.dll
%TEMP%\msedgeupdate.dll,tool,Meterpreter
Process Dumper,file,"lsass.exe),"
campaign,use,SoftEtherVPN
campaign,use,Procdump
campaign,use,BrowserGhost
campaign,use,Gost proxy
campaign,use,Ntlmrelay
campaign,use,Task Scheduler
campaign,use,Go-strip
campaign,use,HackBrowserData
Frebniis,abuse,Microsoft IIS
Frebniis,Establish,Backdoor
Backdoor.Frebniis,dubbed,Frebniis
Frebniis,deploy,backdoor
Frebniis,inject,iisfreb.dll
Frebniis,hijack,IIS
Frebniis,access,w3wp.exe
Frebniis,obtain,iisfreb.dll
Frebniis,search,iisfreb.dll
iisfreb.dll,loaded in,w3wp.exe
iisfreb.dll,called by,iiscore.dll
iiscore.dll,called by,HTTP request
HTTP request,made to,IIS
Frebniis,hijack,IIS server
Frebniis,parse,/logon.aspx
Frebniis,parse,/default.aspx
Frebniis,communicate with,IIS server
Frebniis,is,.NET backdoor code
.NET backdoor code,HTTP call to,logon.aspx
.NET backdoor code,HTTP call to,default.aspx
Frebniis,hijack,IIS web server
Frebniis,is,HTTP backdoor
Nodaria group,aka,UAC-0056
Nodaria group,use,Infostealer.Graphiron
Graphiron,consist of,Downloader.Graphiron
Graphiron,consist of,Infostealer.Graphiron
Downloader.Graphiron,contains,C&C server addresses
Graphiron,connect to,C&C server
Graphiron,masquerade as,OfficeTemplate.exe
Graphiron,masquerade as,MicrosoftOfficeDashboard.exe
Graphiron,obtain IP address from,https://checkip.amazonaws.com
PuTTY sessions,export,"CSIDL_SYSTEMeg.exe"
Graphiron,similarity to,GraphSteel
Graphiron,similarity to,GrimPlant
(GraphSteel,use,PowerShell
Graphiron,communicate with,C&C server
WhisperGate,linked to,Nodaria
WhisperGate,demand,Bitcoin
Nodaria,use,spear-phishing emails
Nodaria,use,Elephant Dropper
Nodaria,use,Elephant Downloader
Nodaria,use,SaintBot
Nodaria,use,OutSteel
Nodaria,use,GrimPlant
Nodaria,use,GraphSteel
Nodaria,use,Elephant Client
Nodaria,use,Graphiron
Bluebottle,continuation of,OPERA1ER
personnel[.]bdm-sa[.]fr,seen in,Bluebottle
personnel[.]bdm-sa[.]fr,seen in,OPERA1ER
Ngrok,used in,activity
PsExec,used in,activity
RDPWrap,used in,activity
Revealer Keylogger,used in,activity
Cobalt Strike Beacon,used in,activity
GuLoader,used in,activity
malware,named,fiche de poste.exe
malware,named,fiche de candidature.pdf.exe
malware,named,fiche de candidature.pdf.exe
malware,contain,fiche de candidature(1).zip
fiche de candidature.scr,used by,OPERA1ER
job-themed malware,use,Bumblebee loader
(Bumblebee loader,used in,ransomware campaign
Bluebottle,same as,OPERA1ER
GuLoader,delivered as,NSIS executable
GuLoader,observed process,ieinstal.exe
GuLoader,observed process,ieinstal.exe
GuLoader,downloaded from,hxxp://178.73.192[.]15/ca1.exe
GuLoader,abused,transfer[.]sh
Bluebottle,use,Netwire remote access Trojan
Bluebottle,use,Cobalt Strike Beacon
